date,direction,target,drone_count,hour
2024-01-01,West,Fuel depot,22,9
2024-01-01,Northeast,Railway hub,37,14
2024-01-01,East,Military base,41,10
2024-01-03,Northwest,Fuel depot,9,13
2024-01-04,Northwest,Bridge,13,22
2024-01-08,North,Military base,12,13
2024-01-10,Northwest,Power station,37,1
2024-01-11,Northeast,Railway hub,20,18
2024-01-15,Northwest,Power station,27,10
2024-01-21,North,Bridge,25,6
2024-01-21,Northwest,Power station,30,23
2024-01-24,West,Railway hub,17,9
2024-01-24,Northeast,Bridge,18,15
2024-01-28,Northwest,Power station,9,1
2024-01-29,Northeast,Railway hub,17,1
2024-01-30,Northwest,Power station,40,23
2024-01-30,West,Railway hub,6,18
2024-01-31,Northwest,Railway hub,13,12
2024-01-31,North,Railway hub,17,2
2024-02-03,Northeast,Railway hub,16,18
2024-02-05,West,Military base,20,13
2024-02-05,West,Railway hub,35,20
2024-02-06,East,Military base,35,7
2024-02-06,Northwest,Railway hub,17,8
2024-02-08,Northwest,Railway hub,31,17
2024-02-08,Northeast,Military base,33,8
2024-02-10,North,Military base,8,23
2024-02-16,Northwest,Power station,17,21
2024-02-17,West,Fuel depot,17,3
2024-02-19,Northeast,Bridge,30,11
2024-02-20,North,Military base,16,20
2024-02-21,East,Military base,27,8
2024-02-21,Northwest,Military base,7,17
2024-02-22,Northeast,Railway hub,22,21
2024-02-25,Northwest,Power station,18,6
2024-02-26,Northwest,Fuel depot,12,20
2024-02-28,Northeast,Power station,37,8
2024-02-28,West,Military base,13,9
2024-03-03,North,Bridge,32,4
2024-03-14,Northeast,Railway hub,19,4
2024-03-16,Northeast,Railway hub,30,4
2024-03-17,North,Military base,37,1
2024-03-17,Northwest,Power station,20,4
2024-03-18,Northeast,Railway hub,34,1
2024-03-19,Northwest,Power station,34,22
2024-03-21,Northwest,Fuel depot,18,5
2024-03-22,Northeast,Railway hub,33,14
2024-03-23,Northwest,Fuel depot,24,13
2024-03-24,Northwest,Railway hub,26,11
2024-03-25,Northeast,Military base,19,16
2024-03-25,Northeast,Railway hub,32,4
2024-03-26,East,Military base,29,15
2024-04-05,East,Power station,7,19
2024-04-06,Northwest,Railway hub,18,18
2024-04-09,Northwest,Power station,21,7
2024-04-11,East,Bridge,7,18
2024-04-14,West,Railway hub,20,17
2024-04-18,Northeast,Railway hub,37,23
2024-04-20,Northwest,Power station,24,3
2024-04-21,Northwest,Power station,17,16
2024-04-22,Northeast,Railway hub,11,16
2024-04-23,Northeast,Power station,28,22
2024-04-27,Northwest,Bridge,40,7
2024-04-28,West,Bridge,21,22
2024-04-30,North,Military base,22,7
2024-05-01,East,Railway hub,13,5
2024-05-02,North,Railway hub,13,9
2024-05-03,West,Power station,29,15
2024-05-05,West,Fuel depot,13,14
2024-05-06,Northeast,Railway hub,17,2
2024-05-06,North,Power station,15,0
2024-05-08,Northeast,Fuel depot,17,3
2024-05-11,East,Fuel depot,26,5
2024-05-12,Northwest,Power station,24,8
2024-05-14,Northwest,Bridge,40,13
2024-05-14,Northwest,Power station,13,23
2024-05-14,Northwest,Military base,35,5
2024-05-15,Northeast,Fuel depot,28,4
2024-05-16,Northwest,Fuel depot,3,9
2024-05-16,Northeast,Railway hub,13,22
2024-05-19,Northeast,Railway hub,35,17
2024-05-20,West,Power station,18,7
2024-05-21,Northeast,Railway hub,38,0
2024-05-21,North,Fuel depot,5,0
2024-05-30,Northeast,Fuel depot,30,5
2024-06-02,Northeast,Bridge,35,9
2024-06-04,Northwest,Bridge,8,7
2024-06-05,Northeast,Military base,39,19
2024-06-05,Northeast,Railway hub,17,7
2024-06-06,North,Power station,41,23
2024-06-08,Northwest,Power station,39,21
2024-06-09,Northwest,Power station,30,19
2024-06-10,Northeast,Railway hub,19,6
2024-06-10,Northeast,Fuel depot,7,0
2024-06-12,Northwest,Power station,37,2
2024-06-14,Northwest,Power station,10,12
2024-06-14,Northeast,Railway hub,18,2
2024-06-16,Northwest,Power station,16,14
